Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Season,Conference
Cleveland Cavaliers,57,25,.695,0,104.3,98.3,5.45,2015-2016,East
Toronto Raptors,56,26,.683,1.0,102.7,98.2,4.08,2015-2016,East
Miami Heat,48,34,.585,9.0,100.0,98.4,1.50,2015-2016,East
Atlanta Hawks,48,34,.585,9.0,102.8,99.2,3.49,2015-2016,East
Boston Celtics,48,34,.585,9.0,105.7,102.5,2.84,2015-2016,East
Charlotte Hornets,48,34,.585,9.0,103.4,100.7,2.36,2015-2016,East
Indiana Pacers,45,37,.549,12.0,102.2,100.5,1.62,2015-2016,East
Detroit Pistons,44,38,.537,13.0,102.0,101.4,0.43,2015-2016,East
Chicago Bulls,42,40,.512,15.0,101.6,103.1,-1.46,2015-2016,East
Washington Wizards,41,41,.500,16.0,104.1,104.6,-0.50,2015-2016,East
Orlando Magic,35,47,.427,22.0,102.1,103.7,-1.68,2015-2016,East
Milwaukee Bucks,33,49,.402,24.0,99.0,103.2,-3.98,2015-2016,East
New York Knicks,32,50,.390,25.0,98.4,101.1,-2.74,2015-2016,East
Brooklyn Nets,21,61,.256,36.0,98.6,106.0,-7.12,2015-2016,East
Philadelphia 76ers,10,72,.122,47.0,97.4,107.6,-9.92,2015-2016,East
Boston Celtics,53,29,.646,0,108.0,105.4,2.25,2016-2017,East
Cleveland Cavaliers,51,31,.622,2.0,110.3,107.2,2.87,2016-2017,East
Toronto Raptors,51,31,.622,2.0,106.9,102.6,3.65,2016-2017,East
Washington Wizards,49,33,.598,4.0,109.2,107.4,1.36,2016-2017,East
Atlanta Hawks,43,39,.524,10.0,103.2,104.0,-1.23,2016-2017,East
Milwaukee Bucks,42,40,.512,11.0,103.6,103.8,-0.45,2016-2017,East
Indiana Pacers,42,40,.512,11.0,105.1,105.3,-0.64,2016-2017,East
Chicago Bulls,41,41,.500,12.0,102.9,102.4,0.03,2016-2017,East
Miami Heat,41,41,.500,12.0,103.2,102.1,0.77,2016-2017,East
Detroit Pistons,37,45,.451,16.0,101.3,102.5,-1.29,2016-2017,East
Charlotte Hornets,36,46,.439,17.0,104.9,104.7,-0.07,2016-2017,East
New York Knicks,31,51,.378,22.0,104.3,108.0,-3.87,2016-2017,East
Orlando Magic,29,53,.354,24.0,101.1,107.6,-6.61,2016-2017,East
Philadelphia 76ers,28,54,.341,25.0,102.4,108.1,-5.83,2016-2017,East
Brooklyn Nets,20,62,.244,33.0,105.8,112.5,-6.74,2016-2017,East
Toronto Raptors,59,23,.720,0,111.7,103.9,7.29,2017-2018,East
Boston Celtics,55,27,.671,4.0,104.0,100.4,3.23,2017-2018,East
Philadelphia 76ers,52,30,.634,7.0,109.8,105.3,4.30,2017-2018,East
Cleveland Cavaliers,50,32,.610,9.0,110.9,109.9,0.59,2017-2018,East
Indiana Pacers,48,34,.585,11.0,105.6,104.2,1.18,2017-2018,East
Miami Heat,44,38,.537,15.0,103.4,102.9,0.15,2017-2018,East
Milwaukee Bucks,44,38,.537,15.0,106.5,106.8,-0.45,2017-2018,East
Washington Wizards,43,39,.524,16.0,106.6,106.0,0.53,2017-2018,East
Detroit Pistons,39,43,.476,20.0,103.8,103.9,-0.26,2017-2018,East
Charlotte Hornets,36,46,.439,23.0,108.2,108.0,0.07,2017-2018,East
New York Knicks,29,53,.354,30.0,104.5,108.0,-3.53,2017-2018,East
Brooklyn Nets,28,54,.341,31.0,106.6,110.3,-3.67,2017-2018,East
Chicago Bulls,27,55,.329,32.0,102.9,110.0,-6.84,2017-2018,East
Orlando Magic,25,57,.305,34.0,103.4,108.2,-4.92,2017-2018,East
Atlanta Hawks,24,58,.293,35.0,103.4,108.8,-5.30,2017-2018,East
Milwaukee Bucks,60,22,.732,0,118.1,109.3,8.04,2018-2019,East
Toronto Raptors,58,24,.707,2.0,114.4,108.4,5.49,2018-2019,East
Philadelphia 76ers,51,31,.622,9.0,115.2,112.5,2.25,2018-2019,East
Boston Celtics,49,33,.598,11.0,112.4,108.0,3.90,2018-2019,East
Indiana Pacers,48,34,.585,12.0,108.0,104.7,2.76,2018-2019,East
Brooklyn Nets,42,40,.512,18.0,112.2,112.3,-0.40,2018-2019,East
Orlando Magic,42,40,.512,18.0,107.3,106.6,0.28,2018-2019,East
Detroit Pistons,41,41,.500,19.0,107.0,107.3,-0.56,2018-2019,East
Charlotte Hornets,39,43,.476,21.0,110.7,111.8,-1.32,2018-2019,East
Miami Heat,39,43,.476,21.0,105.7,105.9,-0.45,2018-2019,East
Washington Wizards,32,50,.390,28.0,114.0,116.9,-3.30,2018-2019,East
Atlanta Hawks,29,53,.354,31.0,113.3,119.4,-6.06,2018-2019,East
Chicago Bulls,22,60,.268,38.0,104.9,113.4,-8.32,2018-2019,East
Cleveland Cavaliers,19,63,.232,41.0,104.5,114.1,-9.39,2018-2019,East
